C:\Users\Austin\workspace\AutoSW\NE_4.txt
Channel 3
Record Number 1
0,0
10,0
20,0
30,0.001
40,0.002
50,0
60,0
70,0
80,0
90,0.001
100,0.001
110,0.001
120,0.002
130,0.004
140,0
150,-0.003
160,0.001
170,0
180,0.001
190,0.003
200,0
210,0
220,0
230,0
240,0
250,0.001
260,0.001
270,0.001
280,0.001
290,0.001
300,0.001
310,0
320,0
330,0.001
340,0
350,0.002
360,0.001
370,-0.002
380,0
390,0
400,0.001
410,0.002
420,0
430,0
440,0
450,0
460,-0.001
470,0.001
480,0.001
490,0
500,0
510,0.001
520,0.001
530,0
540,0
550,0.001
560,0.001
570,0.002
580,0.004
590,-0.001
600,0
610,0.001
620,0.001
630,0.001
640,0.002
650,0.001
660,0
670,0
680,0
690,0.001
700,0.001
710,0.001
720,0.001
730,0
740,0.001
750,0
760,0
770,0.002
780,0
790,0.002
800,0.001
810,-0.001
820,-0.001
830,0
840,0.001
850,0.001
860,0.001
870,0.002
880,-0.001
890,0
900,0
910,0.001
920,0.001
930,0
940,0
950,0
960,0.002
970,0
980,-0.002
990,0.003
1000,0.001
1010,0.001
1020,0
1030,-0.002
1040,0
1050,0
1060,0.001
1070,0
1080,0.002
1090,0.001
1100,-0.001
1110,-0.001
1120,0
1130,0.001
1140,0
1150,0
1160,0.004
1170,-0.001
1180,0
1190,0
1200,0
1210,0
1220,0.002
1230,0.001
1240,0
1250,0.001
1260,0
1270,0
1280,0.001
1290,0.001
1300,0.001
1310,0.001
1320,0.001
1330,-0.001
1340,-0.002
1350,0.002
1360,0.001
1370,0
1380,0.001
1390,0
1400,0
1410,0
1420,-0.001
1430,0.001
1440,0.002
1450,0.001
1460,0
1470,0
1480,-0.001
1490,0
1500,0.003
1510,0.001
1520,0.002
1530,0.001
1540,0
1550,0
1560,-0.001
1570,0.002
1580,0
1590,0
1600,0.001
1610,0.001
1620,0
1630,0
1640,0
1650,0.001
1660,0.002
1670,0.001
1680,0
1690,0.001
1700,0.001
1710,0
1720,0
1730,0.002
1740,0.002
1750,0.002
1760,0.001
1770,0
1780,0
1790,0.002
1800,0.002
1810,0
1820,0.001
1830,0.002
1840,0
1850,-0.001
1860,0
1870,0
1880,0.006
1890,0.008
1900,0.011
1910,0.048
1920,0.075
1930,0.066
1940,0.188
1950,-0.089
1960,-0.034
1970,-0.207
1980,-0.246
1990,-0.31
2000,-0.585
2010,-0.613
2020,-1.292
2030,-1.69
2040,-1.601
2050,-1.985
2060,-2.387
2070,-2.518
2080,-2.812
2090,-3.08
2100,-3.357
2110,-2.892
2120,-2.936
2130,-2.981
2140,-2.596
2150,-2.782
2160,-2.547
2170,-2.062
2180,-1.845
2190,-1.556
2200,-1.009
2210,-0.642
2220,-0.162
2230,0.499
2240,0.762
2250,1.071
2260,1.404
2270,1.61
2280,1.784
2290,1.976
2300,2.004
2310,1.782
2320,1.651
2330,1.583
2340,1.254
2350,1.206
2360,0.986
2370,0.806
2380,0.781
2390,0.723
2400,0.632
2410,0.632
2420,0.604
2430,0.508
2440,0.487
2450,0.438
2460,0.31
2470,0.182
2480,0.059
2490,-0.101
2500,-0.286
2510,-0.36
2520,-0.507
2530,-0.66
2540,-0.724
2550,-0.812
2560,-0.819
2570,-0.807
2580,-0.776
2590,-0.675
2600,-0.579
2610,-0.417
2620,-0.291
2630,-0.134
2640,0.034
2650,0.147
2660,0.342
2670,0.537
2680,0.694
2690,0.882
2700,1.038
2710,1.165
2720,1.295
